news_source,bias,reporting,country,references
Popular Technology,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"29,434"
Portland Tribune,Left-Center,Mixed,United States,"1,414,091"
Powerline,Right,Mixed,United States,"4,213,038"
Pravda Report,Left,Mixed,,"1,086,966"
Press for Truth,Conspiracy-Pseudoscience,Mixed,,"43,284"
Prevention Magazine,Conspiracy-Pseudoscience,Mixed,United States,0
Progress Tribune,Questionable Sources,Mixed,United States,34
Progressive Liberal,Left,Mixed,,"2,277"
Project Veritas,Right,Mixed,United States,"128,262"
Prop or Not,Conspiracy-Pseudoscience,Mixed,United States,485
Proud Conservative,Right,Mixed,,4
Proud Democrat,Left,Mixed,,"3,931"
Public Interest Legal Foundation,Right,Mixed,,"1,398"
Quadrant Magazine,Right,Mixed,,"139,436"
Quillette,Questionable Sources,Mixed,Australia,"350,196"
Rappler,Left,Mixed,Philippines,"599,228"
Raw Conservative Opinions,Questionable Sources,Mixed,United States,0
Raw Story,Left,Mixed,United States,"2,401,668"
Reader Supported News (RSN),Left,Mixed,United States,"241,278"
Reader's Digest,Right,Mixed,United States,"664,856"
Red Alert Politics,Right,Mixed,,"64,985"
Red Blue Divide,Questionable Sources,Mixed,United States,0
Red Flag News,Right,Mixed,,"172,319"
Qpolitical,Questionable Sources,Mixed,United States,75
Red Youth,Left,Mixed,,"5,531"
Redoubt News,Conspiracy-Pseudoscience,Mixed,,"33,649"
Religion Mind,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,21
RenewedRight.com,Right,Mixed,,"7,565"
Republic World,Right-Center,Mixed,,"167,856"
Resilience (Post Carbon Institute),Left,Mixed,,"555,588"
Resistance Media,Right,Mixed,,39
Revcom.us,Left,Mixed,,"46,515"
Reverb Press,Left,Mixed,United States,"37,244"
Richochet,Right,Mixed,,"512,987"
Right & Free,Right,Mixed,United States,0
Right Smarts,Questionable Sources,Mixed,,570
Ron Paul Liberty Report,Right,Mixed,United States,"13,895"
Russian News Agency-TASS,Questionable Sources,Mixed,Russia,"1,477,814"
Ruth Institute,Questionable Sources,Mixed,United States,"62,133"
San Francisco Globe,Left-Center,Mixed,United States,822
Science Factz,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,16
Science Vibe,Conspiracy-Pseudoscience,Mixed,United States,608
Secrets of the Fed,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,0
Secure America Now,Right,Mixed,United States,"4,392"
Sentinel KSMO,Right,Mixed,United States,"9,586"
ShareBlue,Left,Mixed,United States,"154,422"
SHTFplan.com,Questionable Sources,Mixed,,"631,148"
Signs of the Times (SOTT),Conspiracy-Pseudoscience,Mixed,,"812,757"
Silence is Consent,Right,Mixed,,"1,440"
Simple Organic Medicine,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"1,993"
Sinclair Broadcast Group,Right,Mixed,United States,"66,583"
Skeptical Raptor,Pro-Science,Mixed,United States,"29,665"
SmartNews,Least Biased,Mixed,Japan,"58,751"
Sonoran News,Right,Mixed,,"45,527"
Source Politics,Left,Mixed,United States,"2,573"
South Africa Today,Questionable Sources,Mixed,South Africa,"48,795"
South China Morning Post,Left-Center,Mixed,Hong Kong SAR China,"897,021"
Space.News,Conspiracy-Pseudoscience,Mixed,United States,"3,953"
Sparks/CnnTimes,Left,Mixed,Unknown or Invalid Region,25
Spiked Magazine,Right,Mixed,United Kingdom,"6,760"
Splinter,Left,Mixed,United States,"605,675"
StandPoint,Right,Mixed,United States,"243,936"
Star Political,Right,Mixed,United States,675
Stepfeed,Left-Center,Mixed,,"16,494"
Studio News Network,Questionable Sources,Mixed,,"1,410"
Syriana Analysis,Left,Mixed,,"2,513"
Tasnim News Agency,Questionable Sources,Mixed,Iran,"4,351,622"
Tea Party News (the Point),Right,Mixed,United States,"174,532"
The Tehran Times,Questionable Sources,Mixed,Iran,"1,748,697"
Telesur,Left,Mixed,,"2,269,870"
Tenth Amendment Center,Right,Mixed,United States,"330,481"
The Advertiser,Right,Mixed,,"584,921"
The American Cause,Right,Mixed,United States,"34,401"
The American Mind,Right,Mixed,United States,"40,154"
The Anti-Media,Conspiracy-Pseudoscience,Mixed,United States,"446,673"
The Beltway Report,Questionable Sources,Mixed,United States,0
The Blacksphere,Right,Mixed,United States,"265,084"
The Blaze,Right,Mixed,United States,"1,822,045"
The California Republican,Right,Mixed,United States,408
The Chronicle Herald,Right-Center,Mixed,United States,"172,025"
The Citizen Press,Right,Mixed,United States,"2,317"
The College Fix,Right,Mixed,,"432,033"
The Conservative Brief,Questionable Sources,Mixed,,"1,506"
The Conservative Nut,Right,Mixed,United States,8
The Conservative Papers,Questionable Sources,Mixed,United States,
The Conservative Woman,Right,Mixed,United States,"37,344"
The Crusader Journal,Conspiracy-Pseudoscience,Mixed,United States,"2,596"
The Daily Banter,Left,Mixed,United States,"184,645"
The Daily Check,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"1,059"
The Daily Defender,Right,Mixed,,"6,860"
Daily Liberator,Right,Mixed,United States,"7,452"
The Daily Telegraph (AUS),Right,Mixed,Australia,"549,390"
The Daily Wire,Right,Mixed,United States,"430,582"
The DC Chronicle,Right,Mixed,United States,"5,761"
The Democratic Hub,Left,Mixed,United States,"5,904,937"
The Dworkin Report,Left,Mixed,United States,"1,924"
The EC Journal,Right-Center,Mixed,,59
The Epoch Times,Right,Mixed,United States,"1,665,637"
The European Union Times,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"64,376"
The Federalist,Right,Mixed,United States,"789,391"
The Florida Squeeze,Left,Mixed,United States,"7,559"
The Free Telegraph,Questionable Sources,Mixed,,"1,520"
The Greanville Post,Conspiracy-Pseudoscience,Mixed,United States,"123,736"
The Hayride,Right,Mixed,United States,"146,618"
The Hearty Soul,Conspiracy-Pseudoscience,Mixed,,"7,619"
The Korea Times,Left-Center,Mixed,South Korea,"3,590,912"
The Last Refuge,Right,Mixed,United States,"633,408"
The Liberty Daily,Questionable Sources,Mixed,United States,"204,205"
The Liberty Eagle,Questionable Sources,Mixed,,119
The List,Left-Center,Mixed,United States,
The Mary Sue,Left,Mixed,United States,"368,701"
The Moderated Media,Least Biased,Mixed,United States,53
The New American,Right,Mixed,United States,"634,745"
The New Civil Rights Movement,Left,Mixed,United States,"517,107"
The New Revere,Right,Mixed,United States,"4,834"
The Newly Press,Right,Mixed,,492
The Odyssey Online,Left-Center,Mixed,United States,"894,494"
The Ohio Star,Right,Mixed,United States,"21,068"
The Patriot Post,Right,Mixed,United States,"544,690"
The Post & Email,Right,Mixed,United States,"198,989"
The Progressive Frontier,Left,Mixed,,"2,462"
The Proud Liberal,Questionable Sources,Mixed,,"1,473"
The Quint,Right-Center,Mixed,India,"448,206"
The RANTidote,Right,Mixed,,51
The Real Strategy,Right,Mixed,,"2,927"
Rebel News,Right,Mixed,Canada,475
The Resurgent,Right,Mixed,,"141,652"
The Right Scoop,Right,Mixed,,"410,063"
The Ron Paul Institute,Right,Mixed,United States,"31,098"
The Stern Facts,Left,Mixed,United States,700
The Stream,Conspiracy-Pseudoscience,Mixed,United States,"122,758"
The Sun,Right,Mixed,United Kingdom,"6,446,463"
The Tennessee Star,Right,Mixed,United States,"8,430"
The Trumpet,Conspiracy-Pseudoscience,Mixed,,"122,973"
The Washington Feed,Questionable Sources,Mixed,United States,"24,407"
The Washington Reporter,Questionable Sources,Mixed,United States,673
The Washington Sentinel,Questionable Sources,Mixed,United States,"90,741"
TheGreggJarrett.com,Right,Mixed,United States,0
TheosWatch.com,Left,Mixed,,191
TheWrap,Left-Center,Mixed,United States,"967,581"
Thought Catalog,Conspiracy-Pseudoscience,Mixed,United States,0
Times Headline,Left-Center,Mixed,,"26,867"
Times of South Africa,Right-Center,Mixed,South Africa,"318,959"
TMZ,Left-Center,Mixed,United States,"7,019,904"
TooFab,Questionable Sources,Mixed,United States,
Towleroad,Left,Mixed,United States,"1,078,262"
Townhall,Right,Mixed,United States,"3,500,480"
TPL News,Questionable Sources,Mixed,United States,"1,285"
Trending Politics,Right,Mixed,United States,0
TRT World,Right,Mixed,Turkey,"1,651,846"
Trump Train News,Questionable Sources,Mixed,United States,0
TruthOut,Left,Mixed,United States,"2,909,288"
Truth Theory,Conspiracy-Pseudoscience,Mixed,United Kingdom,"92,390"
Twitchy,Right,Mixed,United States,"1,589,588"
UAWire,Left-Center,Mixed,,"36,767"
UK Column,Conspiracy-Pseudoscience,Mixed,United Kingdom,"104,627"
UN Watch,Right,Mixed,,"45,449"
Unbiased America,Right,Mixed,United States,211
Unity News Network,Right,Mixed,United Kingdom,"7,794"
Update America,Right,Mixed,United States,"59,187"
Uproxx,Left,Mixed,United States,"1,110,123"
US National News,Questionable Sources,Mixed,,"1,289"
US Political Post,Left,Mixed,United States,9
US Politics Info,Right,Mixed,Unknown or Invalid Region,20
US Uncut,Left,Mixed,United States,"14,602"
USA Politics Today,Right,Mixed,,854
USSA News,Right,Mixed,,"138,826"
Vatican Radio,Questionable Sources,Mixed,Italy,"78,650"
Verified Politics,Left,Mixed,United States,"25,743"
Vessel News,Right,Mixed,,492
Veterans Today,Conspiracy-Pseudoscience,Mixed,United States,"1,021,158"
Viral Title,Left,Mixed,,41
Viva Liberty,Right,Mixed,,53
Washington Examiner,Right,Mixed,United States,"1,401,834"
Washington Free Beacon,Right,Mixed,United States,"1,213,943"
The Washington Institute for Near East Policy,Right-Center,Mixed,United States,"77,605"
Washington Press,Left,Mixed,United States,"82,759"
Washington Sources,Left,Mixed,United States,"56,259"
Washington Times,Right-Center,Mixed,United States,"4,111,824"
1600 Daily,Right,Mostly Factual,United States,"13,742,825"
Acculturated,Right,Mostly Factual,United States,"106,165"
ACHNews,Left,Mostly Factual,United States,0
Act.TV,Left,Mostly Factual,United States,"10,850"
Advocates for Self-Government,Right-Center,Mostly Factual,United States,0
American Action Forum,Right-Center,Mostly Factual,United States,"42,863"
American Foreign Policy council,Right,Mostly Factual,United States,"56,506"
The American Independent Institute,Left,Mostly Factual,United States,"174,095"
American Military News,Least Biased,Mostly Factual,United States,"67,147"
America's Voice,Left,Mostly Factual,United States,0
Ami Magazine,Right,Mostly Factual,United States,0
Ammoland,Right,Mostly Factual,United States,"133,651"
AmoMama,Least Biased,Mostly Factual,Cyprus,"264,748"
ArcaMax,Right-Center,Mostly Factual,United States,0
Autism Speaks,Conspiracy-Pseudoscience,Mostly Factual,United States,"2,112,955"
B.T. Denmark,Right-Center,Mostly Factual,Denmark,0
Being Liberal,Left,Mostly Factual,United States,0
Being Libertarian,Right-Center,Mostly Factual,United States,"15,712"
Berlingske,Right-Center,Mostly Factual,Denmark,0
Big News Network,Least Biased,Mostly Factual,United Arab Emirates,"4,003,381"
Birmingham Mail,Left-Center,Mostly Factual,United States,"1,234,008"
Bust Magazine,Left,Mostly Factual,United States,"494,964"
Bustle Magazine,Left-Center,Mostly Factual,United States,"402,019"
Buzzsaw Politics,Right,Mostly Factual,United States,0
Calgary Sun,Right,Mostly Factual,Canada,"606,328"
Canada Fact Check,Left,Mostly Factual,Canada,207
Canadian Dimension,Left,Mostly Factual,Canada,"57,185"
Capitalism Magazine,Right-Center,Mostly Factual,Bahamas,"17,527"
Catch News,Left-Center,Mostly Factual,India,"1,346,063"
Center for American Progress,Left,Mostly Factual,United States,"510,427"
CNN,Left,Mostly Factual,United States,"30,024,580"
Commentary Magazine,Right,Mostly Factual,United States,"694,732"
Conservative Institute,Right,Mostly Factual,United States,845
Consortium News,Left-Center,Mostly Factual,United States,"2,318,097"
Constitution Project,Left-Center,Mostly Factual,United States,"6,408"
Cosmopolitan,Left,Mostly Factual,United States,"945,281"
CounterPunch,Left,Mostly Factual,United States,"1,841,409"
Crooks and Liars,Left,Mostly Factual,United States,"3,181,473"
Daily Signal,Right,Mostly Factual,United States,"603,816"
Daily Torch,Right,Mostly Factual,United States,0
Democracy Guardian,Left,Mostly Factual,United States,159
Electronic Intifada,Left,Mostly Factual,United States,"323,143"
Emerging Europe,Left-Center,Mostly Factual,United Kingdom,0
Esquire Magazine,Left,Mostly Factual,United States,"591,263"
Expressen,Right-Center,Mostly Factual,Sweden,0
Fake Hate Crimes,Right,Mostly Factual,United States,"5,275"
Financial Post,Right-Center,Mostly Factual,Canada,"221,789"
Finnish News,Left,Mostly Factual,Finland,0
First Coast News,Least Biased,Mostly Factual,United States,0
Forbes,Right-Center,Mostly Factual,United States,"6,223,025"
Foreign Policy Research Institute,Right-Center,Mostly Factual,United States,"55,132"
Fox Business,Right-Center,Mostly Factual,United States,"452,956"
Front Page Live,Left,Mostly Factual,United States,51
Goteborgs-Posten,Right-Center,Mostly Factual,Sweden,0
Hot Air,Right,Mostly Factual,United States,"4,746,030"
Huffington Post,Left,Mostly Factual,United States,"15,441,793"
Human Progress,Right-Center,Mostly Factual,United States,"82,262"
In These Times,Left,Mostly Factual,United States,"879,984"
Independent Sentinel,Right,Mostly Factual,United States,"191,942"
India.com,Right-Center,Mostly Factual,India,0
Intellectual Takeout,Right,Mostly Factual,United States,"236,432"
Just Facts,Right-Center,Mostly Factual,United States,"4,540"
KDVR-TV,Least Biased,Mostly Factual,United States,0
Las Vegas Sun,Left-Center,Mostly Factual,United States,"318,891"
LGBTQ Nation,Left,Mostly Factual,United States,"1,288,042"
ListVerse,Right-Center,Mostly Factual,United Kingdom,"135,925"
London Free Press,Right-Center,Mostly Factual,Canada,"984,418"
Mashable,Left,Mostly Factual,United States,"4,260,645"
Nation of Change,Left,Mostly Factual,United States,"169,438"
National Review,Right,Mostly Factual,United States,"3,922,194"
Natural Resources Defense Council,Left,Mostly Factual,United States,"462,059"
News and Guts,Left-Center,Mostly Factual,United States,"6,685"
News and News,Least Biased,Mostly Factual,United States,"3,725"
News.com.au,Right-Center,Mostly Factual,Australia,"13,230,362"
NewsOne,Left,Mostly Factual,United States,"156,933"
North99,Left,Mostly Factual,Canada,940
PinkNews,Left,Mostly Factual,United Kingdom,"317,147"
Pluralist,Right,Mostly Factual,United States,527
Radio Free Europe / Radio Liberty,Least Biased,Mostly Factual,United States,"896,717"
Real Clear Investigations,Right-Center,Mostly Factual,United States,"39,690"
Real Clear Politics,Right-Center,Mostly Factual,United States,"3,928,705"
Right Wing Watch,Left,Mostly Factual,United States,"661,998"
Second Nexus,Left-Center,Mostly Factual,United States,"14,626"
Shondaland,Left,Mostly Factual,United States,0
Southern Patriot News,Right,Mostly Factual,United States,4
Talking Points Memo,Left,Mostly Factual,United States,"6,366,737"
Tax Foundation,Right-Center,Mostly Factual,United States,"491,857"
Teen Vogue,Left,Mostly Factual,United States,"70,543"
The Blue Route,Left,Mostly Factual,United States,6
The Ghion Journal,Left,Mostly Factual,United States,"20,954"
The Hill,Right-Center,Mostly Factual,United States,"2,663,933"
The London Economic,Left,Mostly Factual,United Kingdom,"29,239"
The Morning Star,Left,Mostly Factual,United Kingdom,"180,558"
The Post Millennial,Right,Mostly Factual,Canada,"11,394"
The Spectator (uk),Right-Center,Mostly Factual,United Kingdom,"3,074,835"
The Straits Times,Right-Center,Mostly Factual,Singapore,"3,422,780"
TheGrio,Left,Mostly Factual,United States,"464,637"
Toronto Sun,Right,Mostly Factual,Canada,"543,426"
Tribunist,Right,Mostly Factual,United States,"1,021"
Vanity Fair,Left,Mostly Factual,United States,"1,640,670"
Vox,Left,Mostly Factual,United States,"8,056,806"
Wall Street Journal,Right-Center,Mostly Factual,United States,"15,408,093"
Washington Journal (Not C-Span),Left,High,United States,0
1010 WINS AM,Least Biased,High,United States,0
12 News KPNX,Least Biased,High,United States,0
38 North,Least Biased,High,United States,"82,340"
680 News,Least Biased,High,Canada,"410,703"
71 Republic,Right-Center,High,United States,"19,485"
9 News (Australia),Right-Center,High,Australia,"712,940"
972 Magazine,Left-Center,High,Israel,"222,307"
ABC News Australia,Left-Center,High,Australia,"5,532,550"
ABC News,Left-Center,High,United States,"17,070,597"
ABC11 Eyewitness News,Left-Center,High,United States,"163,789"
ABC12/WJRT-TV,Least Biased,High,United States,
Above the Law,Left-Center,High,United States,"807,265"
ABS-CBN,Least Biased,High,Philippines,"671,838"
The Advocate,Left,High,United States,"484,781"
Aeon,Left-Center,High,United Kingdom,"207,882"
Affinity Magazine,Left-Center,High,United States,"37,114"
Agence France-Presse (AFP),Least Biased,High,France,"2,117,406"
Africa News,Least Biased,High,Congo - Brazzaville,"3,561,718"
African Arguments,Left-Center,High,United Kingdom,"75,962"
Against Crony Capitalism,Right,High,United States,"11,497"
Agenzia Nazionale Stampa Associata (ANSA),Least Biased,High,Italy,"5,565,850"
Agerpres,Least Biased,High,Romania,"2,909,541"
Airwars,Least Biased,High,United States,"33,321"
Akkadian Times,Left,High,United States,523
Akron Beacon Journal,Left-Center,High,United States,360
Al Arabiya,Least Biased,High,Saudi Arabia,"3,542,107"
Al Bawaba,Least Biased,High,Jordan,"1,063,901"
Al.com (Alabama News),Right-Center,High,United States,"3,170,619"
Al-Hayat,Left-Center,High,United Arab Emirates,"376,686"
Al Majalla,Least Biased,High,United Kingdom,"4,378"
Al Monitor,Left-Center,High,United States,"217,900"
Alabama Political Reporter,Least Biased,High,United States,"80,359"
Alabama Today,Least Biased,High,United States,"1,476"
Alan Guttmacher Institute,Left-Center,High,United States,"47,283"
Alaska Dispatch News,Left-Center,High,United States,"290,439"
Albany Democrat-Herald,Least Biased,High,United States,"14,521"
Albany Times-Union,Left-Center,High,United States,"1,206,234"
Alberta Views,Left-Center,High,Canada,"2,429"
Albuquerque Journal,Right-Center,High,United States,"402,312"
Ad Fontes Media,Least Biased,High,United States,453
AllGov,Left-Center,High,United States,"197,970"
Alliance for Justice (AFJ),Left,High,United States,"137,870"
Alliance For Securing Democracy,Least Biased,High,United States,"2,917"
Allied Progress,Left-Center,High,United States,424
AM New York,Left-Center,High,United States,"1,543,565"
Amandla,Left,High,South Africa,"5,168"
Amarillo Globe-News,Least Biased,High,United States,"94,251"
America Magazine,Left-Center,High,United States,"186,574"
America Rising PAC,Right,High,United States,"15,020"
America Blog,Left,High,United States,"1,392,226"
American Affairs Journal,Right-Center,High,United States,"12,949"
American Council on Science and Health (ACSH),Right-Center,High,United States,"108,248"
American Firearms Institute,Right-Center,High,United States,"2,205"
American Heritage,Least Biased,High,United States,"98,684"
American Immigration Council,Left-Center,High,United States,"70,632"
American Institute for Economic Research,Right-Center,High,United States,"4,815"
American Public Media,Left-Center,High,United States,"675,248"
Americans United for Separation of Church and State,Left,High,United States,"388,691"
Americas Quarterly,Right-Center,High,United States,"183,028"
Amnesty International,Left-Center,High,United Kingdom,"3,667,337"
Anderson Independent Mail,Least Biased,High,United States,0
Angry White Men,Left,High,United States,"31,454"
Anniston Star,Left-Center,High,United States,"41,995"
Anti-Defamation League (ADL),Left-Center,High,United States,"1,408,540"
Anti-Fascist News,Left,High,United States,"5,733"
AOL,Left-Center,High,United States,"30,319,399"
APM Reports,Left-Center,High,United States,"4,054"
Ara News,Left-Center,High,Syria,"43,805"
Arab News,Right-Center,High,Saudi Arabia,"1,115,389"
Arc Digital,Least Biased,High,United States,0
Arizona Capitol Times,Least Biased,High,United States,"177,034"
Arizona Daily Star,Left-Center,High,United States,"1,758,081"
Arizona Daily Sun,Left-Center,High,United States,"58,255"
Arizona Republic,Left-Center,High,United States,"5,965,192"
Arkansas Democrat-Gazette,Right-Center,High,United States,"1,518,710"
Arkansas Times,Left-Center,High,United States,"23,531"
Arms Control Association,Left-Center,High,United States,"66,863"
Ars Technica,Least Biased,High,United States,"4,374,188"
Arutz Sheva (Israel National News),Right-Center,High,Israel,"1,632,706"
Asheboro Courier-Tribune,Least Biased,High,United States,0
Asheville Citizen-Times,Left-Center,High,United States,"1,266,496"
Asia Times,Least Biased,High,Hong Kong SAR China,"2,716,978"
Asian Correspondent,Left-Center,High,United Kingdom,"190,266"
Atlanta Black Star,Left-Center,High,United States,"243,450"
Atlanta Journal-Constitution,Left-Center,High,United States,"6,171,691"
Atlantic Council,Left-Center,High,United States,"191,038"
Atlantic Media,Left-Center,High,United States,"5,117"
Atlas Obscura,Least Biased,High,United States,"180,134"
ATTN:,Left-Center,High,United States,"6,935"
Austin American-Statesman,Left-Center,High,United States,"2,303,784"
Austin Daily Herald,Left-Center,High,United States,0
Australian Skeptics Inc.,Pro-Science,High,Australia,"63,696"
AutoStraddle,Left,High,United States,"293,612"
AV Club,Left-Center,High,United States,0
Axios,Left-Center,High,United States,"389,083"
BackChannel,Left-Center,High,United States,"6,070"
Balkan Insight,Left-Center,High,United Kingdom,"99,944"
Baltimore Sun,Left-Center,High,United States,"2,139,406"
Bangor Daily News,Left-Center,High,United States,"514,713"
Baptist News Global,Left-Center,High,United States,"17,619"
Battle Creek Enquirer,Left-Center,High,United States,"717,498"
Bay Area Reporter,Left,High,United States,"48,083"
Bbarta24,Least Biased,High,Bangladesh,"306,319"
BBC News,Left-Center,High,United Kingdom,"13,112,113"
BDNews24,Least Biased,High,Bangladesh,0
Beijing Review,Left-Center,High,China,"200,277"
Belleville News-Democrat,Least Biased,High,United States,"1,336,994"
Bellingcat,Least Biased,High,United Kingdom,"92,430"
Bellingham Herald,Left-Center,High,United States,0
Berkeleyside,Left-Center,High,United States,"29,219"
Berkshire Eagle,Left-Center,High,United States,"578,637"
Better Government Association,Least Biased,High,United States,"19,584"
Big Think,Least Biased,High,United States,"878,997"
Billings Gazette,Right-Center,High,United States,"65,798"
BillMoyers.com,Left-Center,High,United States,"223,209"
Bing News,Left-Center,High,United States,"60,974,705"
Bipartisan Policy Center,Right-Center,High,United States,"26,318"
Bismarck Tribune,Least Biased,High,United States,"48,920"
Bitch Media,Left,High,United States,"6,761"
Black Agenda Report,Left,High,United States,"170,916"
Black Lives Matter,Left,High,United States,"107,304"
Blasting News,Least Biased,High,United Kingdom,"334,438"
Bleeping Computer,Least Biased,High,United States,"540,633"
Blue Lives Matter,Right,High,United States,"5,480"
Bluestem Prairie,Left-Center,High,United States,"27,220"
BNO News,Least Biased,High,Netherlands,"13,314"
Boston.com,Left-Center,High,United States,0
Boston Globe,Left-Center,High,United States,"779,673"
Boston Herald,Right-Center,High,United States,"502,831"
Boston Review,Left,High,United States,"332,299"
Boy Genius Report,Left-Center,High,United States,"2,056,389"
Bozeman Daily Chronicle,Least Biased,High,United States,"9,025"
Breaking Defense,Right-Center,High,United States,"112,489"
Breakthrough Institute,Right-Center,High,United States,"52,195"
Brennan Center for Justice,Left-Center,High,United States,"153,344"
Bridge Magazine,Least Biased,High,United States,"30,392"
The Brunswick News,Right-Center,High,United States,"10,450"
Buffalo News,Left-Center,High,United States,"156,757"
Bullshido,Least Biased,High,United States,"586,699"
Business2Community,Least Biased,High,United States,"31,073"
Business Insider,Left-Center,High,United States,"4,516,930"
Calgary Herald,Right-Center,High,Canada,"662,947"
California Globe,Right-Center,High,United States,917
California Political Review,Right-Center,High,United States,"112,592"
CalWatchdog.com,Left-Center,High,United States,"125,982"
Canadaland,Left-Center,High,Canada,"22,738"
Canadian Jewish News,Right-Center,High,Canada,"87,603"
Canadian Public Affairs Channel (CPAC),Least Biased,High,Canada,"31,233"
Canadian Taxpayers Federation,Right-Center,High,Canada,"35,355"
Cape Cod Times,Least Biased,High,United States,"141,778"
Capital Gazette,Left-Center,High,United States,"317,232"
Capital & Main,Left,High,United States,"20,343"
Capitol Fax,Least Biased,High,United States,"204,384"
Carbonated TV,Left,High,United States,"4,335"
Caribbean Life News,Left-Center,High,United States,"52,962"
Carnegie Endowment for International Peace,Left-Center,High,United States,"909,417"
Carolina Public Press,Left-Center,High,United States,"64,218"
Casper Star-Tribune,Least Biased,High,United States,"50,575"
Castanet,Least Biased,High,Canada,"1,627,619"
Cato Institute,Right-Center,High,United States,"1,787,395"
CBC News,Left-Center,High,Canada,"4,269,775"
CBS Boston - WBZ-TV,Left-Center,High,United States,0
CBS News,Left-Center,High,United States,"6,068,779"
CCN Markets,Right-Center,High,Norway,"629,930"
Ceasefire Magazine,Left,High,United Kingdom,0
Center for Democracy and Technology,Least Biased,High,United States,"131,525"
Center for a New American Security,Left-Center,High,United States,"58,925"
Center for a Stateless Society,Left,High,United States,"165,120"
Center for Advanced Defense Studies,Left-Center,High,United States,"1,822"
Center for Global Development,Left-Center,High,United States,"86,657"
Center for Inquiry,Left-Center,High,United States,119
Center for International Policy,Left-Center,High,United States,"150,289"
Center for Media and Democracy,Left,High,United States,"467,006"
Center for Public Integrity,Left-Center,High,United States,"287,572"
Center for the National Interest,Right-Center,High,United States,"105,121"
Center for Popular Democracy,Left-Center,High,United States,"12,846"
Central News Agency (CNA) / Focus Taiwan,Left-Center,High,Taiwan,0
Change.org,Left,High,United States,"3,143,760"
Channel 4 News (UK),Left-Center,High,United Kingdom,0
Charleston Gazette Mail,Left-Center,High,United States,"383,135"
Charlotte Observer,Left-Center,High,United States,"1,674,424"
Check Your Fact,Right-Center,High,United States,"8,964"
Cheddar,Left-Center,High,United States,"70,039"
Chicago Reader,Left,High,United States,"1,030,827"
Chicago Sun-Times,Left-Center,High,United States,"1,735,078"
Chicago Tribune,Right-Center,High,United States,"4,796,090"
Chinook Observer,Least Biased,High,United States,"13,482"
Christian Science Monitor,Least Biased,High,United States,"2,602,907"
Christianity Today,Right-Center,High,United States,"719,707"
Chronicles of Democracy,Left,High,United States,4
Cinncinati Equirer,Right-Center,High,United States,"1,124,449"
Circa News,Right-Center,High,United States,"687,152"
Citizen Critics,Left,High,United States,125
Citizen Truth,Left-Center,High,United States,"3,873"
Citizens for Legitimate Government,Left-Center,High,United States,"1,704,548"
Citizens for Tax Justice,Left-Center,High,United States,"11,946"
Citizens for Responsibility and Ethics in Washington (CREW),Left-Center,High,United States,"168,578"
City and State New York,Least Biased,High,United States,"19,876"
City Journal,Right,High,United States,"805,635"
City Pages,Left-Center,High,United States,0
CityLab,Left-Center,High,United States,0
Clean Technica,Left-Center,High,United States,"232,944"
Climate Science & Policy Watch (CSPW),Pro-Science,High,United States,"53,987"
CNBC,Left-Center,High,United States,"3,538,689"
CNET,Least Biased,High,United States,"14,691,424"
Colorado Springs Gazette,Right-Center,High,United States,"104,959"
Columbia Daily Herald,Right-Center,High,United States,"58,663"
Columbia Journalism Review,Left-Center,High,United States,"633,985"
Columbus Dispatch,Right-Center,High,United States,"901,433"
Committee for Economic development,Least Biased,High,United States,"38,628"
Committee to Investigate Russia,Left-Center,High,United States,"9,768"
Common Cause,Left-Center,High,United States,"254,390"
Common Dreams,Left,High,United States,"2,188,486"
Commonweal Magazine,Left-Center,High,United States,"85,869"
CommonWealth fund,Left-Center,High,United States,"73,254"
Concord Monitor,Least Biased,High,United States,"566,793"
Conflict News,Least Biased,High,United States,446
Connecticut Post,Left-Center,High,United States,"10,232"
Anthropocene Magazine,Left-Center,High,United States,"22,619"
Constitution Daily,Least Biased,High,United States,"83,271"
Consumer Reports,Least Biased,High,United States,"665,435"
Consumerist,Least Biased,High,United States,"610,449"
ConsumerLab.com,Pro-Science,High,United States,"45,126"
Cook Political Reports,Least Biased,High,United States,"161,861"
Cop Block,Left,High,United States,0
coronavirus.gov,Least Biased,High,United States,0
Corporate Presidency,Left-Center,High,United States,77
Council for the National Interest,Left-Center,High,United States,"59,156"
Council on Foreign Relations,Least Biased,High,United States,"560,148"
Countable News,Least Biased,High,United States,"619,670"
CounterCurrents.org,Left,High,India,"323,696"
Courthouse News Service,Least Biased,High,United States,"328,559"
CP24,Least Biased,High,Canada,"1,642,755"
Credo Action,Left-Center,High,United States,"123,173"
Crimeola,Least Biased,High,United States,"6,182"
CrimethInc,Left,High,United States,"176,540"
Crooked Media,Left,High,United States,"49,262"
CrossCut.com,Left-Center,High,United States,"86,444"
CT Mirror,Left-Center,High,United States,"107,058"
CTV News,Least Biased,High,Canada,"1,994,046"
Curiosity.com,Least Biased,High,United States,"44,571"
